ProductID,ProductName,Price,SubCategory,Category
117,PINK FRINGE MINI BODYCON SKIRT,"₦11,800.00",Skirt,Women
118,BLACK SEQUIN MINI SKIRT,"₦12,800.00",Skirt,Women
119,PINK SATIN MIDI SKIRT,"₦12,800.00",Skirt,Women
120,STONE SPLIT MINI SKIRT,"₦9,800.00",Skirt,Women
121,PINK CORSET SEAM DETAIL MINI SKIRT,"₦11,800.00",Skirt,Women
122,Ed Hardy Love Kills Beanie - Black/combo,"₦13,491.00",Accessories,Women
123,Hardly Working Utility Belt - Black,"₦8,991.00",Accessories,Women
124,Classy Babe Earrings - Gold,"₦7,191.00",Accessories,Women
125,Manifest It Handbag - Gold,"₦26,991.00",Accessories,Women
126,Glam Cross Earrings - Silver,"₦7,191.00",Accessories,Women
127,What You Tell Me Layered Necklace - Silver,"₦7,191.00",Accessories,Women
128,Crazy Fur You Bucket Hat - Black,"₦13,491.00",Accessories,Women
129,Cheetah Sisters Shoulder Bag - Black,"₦22,491.00",Accessories,Women
130,Cuddle With Me Hat - Tan,"₦17,991.00",Accessories,Women
131,Cheetah Sisters Shoulder Bag - Taupe,"₦22,491.00",Accessories,Women
132,Classy Babe Earrings - Silver,"₦7,191.00",Accessories,Women
133,Aspen Ready Gloves - Pink,"₦11,691.00",Accessories,Women
134,Bonjour Mi Amour Beret - Ivory,"₦11,691.00",Accessories,Women
135,Everyday Chain Necklace - Gold,"₦8,991.00",Accessories,Women
136,The Pearliest Girl Fedora - Black,"₦26,991.00",Accessories,Women
137,Can't Hold Me Back Hoops - Gold,"₦11,691.00",Accessories,Women
138,New Chances Earrings - Silver,"₦7,191.00",Accessories,Women
139,Stone Hearts 5 Piece Ring Set - Clear/Silver,"₦8,991.00",Accessories,Women
140,Should Have Been Us Belt - Black,"₦8,991.00",Accessories,Women
141,Modern Babe Handbag - Denim,"₦26,991.00",Accessories,Women
142,Never Bored Hoop Earrings - Gold,"₦8,991.00",Accessories,Women
143,Always Covered Handbag - Black,"₦35,991.00",Accessories,Women
144,Quilted Cabbie Hat - Black,"₦13,491.00",Accessories,Women
145,Best To Me 5 Piece Ring Set - Silver,"₦8,991.00",Accessories,Women
146,Men's Stripped business Suit | Black,"₦36,500.00",Men's Suit,Men
147,Men's Suit With Single Button |Black,"₦34,500.00",Men's Suit,Men
148,Men's Suit with Single Button |Grey,"₦34,500.00",Men's Suit,Men
149,Men's Suit With Single Button | Navy Blue,"₦34,500.00",Men's Suit,Men
150,Men's Suit with Single Button | Grey,"₦34,500.00",Men's Suit,Men
151,Men's Suit with Single Button |Royal Blue,"₦34,500.00",Men's Suit,Men
152,Men's 3-piece business Suit | Black,"₦37,500.00",Men's Suit,Men
153,Men's 3-piece business Suit | Navy Blue,"₦37,500.00",Men's Suit,Men
154,Men's 3-piece business Suit | Grey,"₦37,500.00",Men's Suit,Men
155,Men's 3-piece business Suit | Royal blue,"₦37,500.00",Men's Suit,Men
156,Men's Tuxedo with Single Button |NavyBlue,"₦37,500.00",Men's Suit,Men
157,Off White Men's Tuxedo with Single Button,"₦37,500.00",Men's Suit,Men
158,Men's Tuxedo Single Button |Black,"₦37,500.00",Men's Suit,Men
159,Men's Tuxedo with Single Button |white,"₦37,500.00",Men's Suit,Men
160,Men's Tuxedo with Single Button |Royal Blue,"₦37,500.00",Men's Suit,Men
161,Men's Tuxedo with Single Button |Grey,"₦37,500.00",Men's Suit,Men
162,Men's Tuxedo with Single Button |Black,"₦37,500.00",Men's Suit,Men
163,SIZE 58 3 Piece Men's Suit with Single Button | Army Green,"₦45,500.00",Men's Suit,Men
164,AM block check men's Shirt | Sky blue,"₦18,999.00",Shirt,Men
165,TM Martin Bishop Collar Shirt | Black,"₦18,999.00",Shirt,Men
166,TM Martin Bishop Collar Shirt | White spec,"₦18,999.00",Shirt,Men
167,FSH two toned Dress shirt | Pastel,"₦19,999.00",Shirt,Men
168,AM check men's Shirt | Blue,"₦18,999.00",Shirt,Men
169,AM check men's Shirt | White,"₦18,999.00",Shirt,Men
170,TM Martin men's classic Shirt | Burgundy,"₦18,999.00",Shirt,Men
171,TM Martin men's classic Shirt | White,"₦18,999.00",Shirt,Men
172,AG designer plain polo shirt | Beige,"₦19,999.00",Shirt,Men
173,TH crested Tee-shirt | Navy Blue,"₦18,999.00",Shirt,Men
174,LST croc print polo shirt | Navy blue,"₦19,999.00",Shirt,Men
175,AM crested designer polo shirt | Black,"₦19,999.00",Shirt,Men
176,FSH drip print Dress shirt | Orange,"₦18,999.00",Shirt,Men
177,FSH floral print Dress shirt | Blue,"₦18,999.00",Shirt,Men
178,Shortsleeve Ricardo Martinez Print Shirt | County,"₦18,999.00",Shirt,Men
179,PRL trophy two toned polo shirt | Grey,"₦18,999.00",Shirt,Men
180,PRL trophy two toned polo shirt | Black,"₦18,999.00",Shirt,Men
181,JP peacock print dress Shirt | Blue,"₦18,999.00",Shirt,Men
182,Shortsleeve Ricardo Martinez Print Shirt | Strands,"₦18,999.00",Shirt,Men
183,PRL trophy two toned polo shirt | Green,"₦18,999.00",Shirt,Men
184,GB leather penny loafers for men | Brown,"₦37,500.00",Shoes,Men
185,BB skin leather Mules | Black,"₦37,500.00",Shoes,Men
186,LB Suede white soles | Black,"₦47,500.00",Shoes,Men
187,LV capped leather laceup shoe | Brown,"₦37,500.00",Shoes,Men
188,GC crested textured white soles | Black,"₦49,999.00",Shoes,Men
189,LV. textured penny loafers | Brown,"₦37,500.00",Shoes,Men
190,TF cracked leather Mules | Black,"₦37,500.00",Shoes,Men
191,VLT crested tassel leather Bold sole | Black,"₦47,500.00",Shoes,Men
192,GB cracked leather loafers | Brown,"₦37,500.00",Shoes,Men
193,GB leather penny loafers for men | Black,"₦37,500.00",Shoes,Men
194,PRL easy suede loafers | Brown,"₦29,999.00",Shoes,Men
195,SF regal textured loafers for men | Black,"₦42,500.00",Shoes,Men
196,LV textured leather monk shoe | Brown,"₦37,500.00",Shoes,Men
197,TF cracked leather Mules | Brown,"₦37,500.00",Shoes,Men
198,TF leather laceup brogues | Dark Brown,"₦37,500.00",Shoes,Men
199,LV. textured penny loafers | Black,"₦37,500.00",Shoes,Men
200,LV poised leather laceup shoe | Brown,"₦37,500.00",Shoes,Men
201,LV capped textued laceup shoe | Black,"₦37,500.00",Shoes,Men
202,CLK capped leather Laceup shoe | Light Brown,"₦37,500.00",Shoes,Men
203,TF leather mens penny loafers | Black,"₦37,500.00",Shoes,Men
204,Premium Chinos Trouser | Navy Blue,"₦19,999.00",Trousers,Men
205,Premium Men's Dress Trouser | Black,"₦27,500.00",Trousers,Men
206,Premium Jeans Trouser | Blue,"₦24,500.00",Trousers,Men
207,Men's Chinos Trouser | Light Grey,"₦12,999.00",Trousers,Men
208,Black Men's office Trouser,"₦12,999.00",Trousers,Men
209,Navy Blue Men's formal Trouser,"₦12,999.00",Trousers,Men
210,Mens dress Trouser | Grain Grey,"₦12,999.00",Trousers,Men
211,Grey Men's formal Trouser,"₦12,999.00",Trousers,Men
212,Men's Chinos Trouser | Cream,"₦12,999.00",Trousers,Men
213,Men's Chinos Trouser | Navy Blue,"₦12,999.00",Trousers,Men
214,Men's Chinos Trouser | Carton,"₦12,999.00",Trousers,Men
215,Premium Chinos Trouser | Beige,"₦19,999.00",Trousers,Men
216,Premium Chinos Trouser | Black,"₦19,999.00",Trousers,Men
217,Premium Chinos Trouser | Brown,"₦19,999.00",Trousers,Men
218,Premium Chinos Trouser | Wine,"₦19,999.00",Trousers,Men
219,Premium Chinos Trouser | Purple,"₦19,999.00",Trousers,Men
220,Premium Chinos Trouser | Carton,"₦19,999.00",Trousers,Men
221,Premium Jeans Trouser | Charcoal Black,"₦19,999.00",Trousers,Men
222,Premium Jeans Trouser | Grain Black,"₦24,500.00",Trousers,Men
223,Men's smart Shorts | Mint,"₦12,999.00",Trousers,Men
